latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,,,,
42.917397,78.91691,2149,-14400,America/New_York,EDT,,,,
,,,,,,,,,
time,weather_code,temperature_2m_max_F,temperature_2m_min_F,temperature_2m_mean),sunrise,sunset,precipitation_sum_inch,wind_speed_10m_max_mph,wind_gusts_10m_max_mph
1/1/2000,71,24.4,9.6,15.4,1999-12-31T22:15,2000-01-01T07:19,0.008,5.9,20.4
1/2/2000,75,25.1,16.6,21.4,2000-01-01T22:15,2000-01-02T07:20,0.496,4.4,24.8
1/3/2000,73,21.4,12.8,17.1,2000-01-02T22:15,2000-01-03T07:21,0.614,4.3,28.2
1/4/2000,75,19.1,10.7,13.6,2000-01-03T22:15,2000-01-04T07:22,0.232,5.1,19.5
1/5/2000,3,23.4,9.1,15,2000-01-04T22:15,2000-01-05T07:23,0,6.1,19.7
1/6/2000,73,20.9,7.5,12.6,2000-01-05T22:15,2000-01-06T07:24,0.02,5.9,19
1/7/2000,71,24.5,-0.2,10,2000-01-06T22:15,2000-01-07T07:25,0.008,5.7,21.5
1/8/2000,73,24.9,7.2,15.9,2000-01-07T22:15,2000-01-08T07:26,0.217,6.7,20.8
1/9/2000,71,12,-11.5,4,2000-01-08T22:14,2000-01-09T07:27,0.039,6.6,18.1
1/10/2000,1,9.2,-14,-5.7,2000-01-09T22:14,2000-01-10T07:28,0,4.5,15
1/11/2000,3,11.4,-16.9,-1,2000-01-10T22:14,2000-01-11T07:29,0,4,14.1
1/12/2000,3,6.9,-15.1,-2.2,2000-01-11T22:14,2000-01-12T07:30,0,4.8,14.8
1/13/2000,3,7.9,-4.4,1.4,2000-01-12T22:13,2000-01-13T07:31,0,4.7,14.5
1/14/2000,71,5.3,-18.7,-4,2000-01-13T22:13,2000-01-14T07:32,0,4.7,12.8
1/15/2000,1,3.5,-17.7,-9.9,2000-01-14T22:12,2000-01-15T07:34,0,4.5,13.4
1/16/2000,0,9.1,-18.5,-8,2000-01-15T22:12,2000-01-16T07:35,0,3.8,15.7
1/17/2000,3,2.6,-15.2,-8.2,2000-01-16T22:11,2000-01-17T07:36,0,6.9,20.1
1/18/2000,73,19.6,-3.8,14.4,2000-01-17T22:11,2000-01-18T07:37,0.106,6.3,21
1/19/2000,73,20,-5.2,8.5,2000-01-18T22:10,2000-01-19T07:38,0.039,5,15
1/20/2000,2,12.6,-12.9,-2.3,2000-01-19T22:10,2000-01-20T07:39,0,6.5,18.6
1/21/2000,2,13.2,-11.8,-1.6,2000-01-20T22:09,2000-01-21T07:41,0,4.4,15.2
1/22/2000,0,8.3,-14.2,-5.2,2000-01-21T22:08,2000-01-22T07:42,0,6.3,16.8
1/23/2000,1,11.2,-10.4,-0.5,2000-01-22T22:08,2000-01-23T07:43,0,4.9,15.4
1/24/2000,2,17.6,-6.1,7.1,2000-01-23T22:07,2000-01-24T07:44,0,4.2,12.5
1/25/2000,71,18.4,0.2,13.3,2000-01-24T22:06,2000-01-25T07:46,0,4.3,13.9
1/26/2000,3,17.2,-3,9.3,2000-01-25T22:05,2000-01-26T07:47,0,4.6,13
1/27/2000,2,17,-5.4,3.7,2000-01-26T22:04,2000-01-27T07:48,0,6.7,19
1/28/2000,2,15.5,-8.5,2.1,2000-01-27T22:03,2000-01-28T07:50,0,5.4,16.3
1/29/2000,2,17.9,-4.3,3.9,2000-01-28T22:02,2000-01-29T07:51,0,6.1,17.7
1/30/2000,3,24.2,2.7,19.7,2000-01-29T22:02,2000-01-30T07:52,0,5,15.9
1/31/2000,71,24.2,16.8,20.2,2000-01-30T22:00,2000-01-31T07:54,0.02,4.6,13.9
2/1/2000,71,19.5,11.6,16.1,2000-01-31T21:59,2000-02-01T07:55,0,3.9,11.4
2/2/2000,2,23.4,-3.2,10.9,2000-02-01T21:58,2000-02-02T07:56,0,5.2,17
2/3/2000,71,22.7,1.1,15.2,2000-02-02T21:57,2000-02-03T07:58,0,4.3,13.9
2/4/2000,3,19.6,-6.1,7.3,2000-02-03T21:56,2000-02-04T07:59,0,4.3,13.9
2/5/2000,0,21.3,-7.3,3.8,2000-02-04T21:55,2000-02-05T08:00,0,5.6,16.1
2/6/2000,1,20.9,-5.2,5.3,2000-02-05T21:54,2000-02-06T08:02,0,5.9,16.3
2/7/2000,2,22.8,-3.4,7.2,2000-02-06T21:53,2000-02-07T08:03,0,5.2,16.3
2/8/2000,2,25.4,-3.6,9.4,2000-02-07T21:52,2000-02-08T08:04,0,4.8,15.9
2/9/2000,71,27.2,3.2,17.2,2000-02-08T21:50,2000-02-09T08:06,0.055,7.1,19.7
2/10/2000,71,15,5.6,10.3,2000-02-09T21:49,2000-02-10T08:07,0,5.6,16.6
2/11/2000,2,13.6,-11.7,3.1,2000-02-10T21:48,2000-02-11T08:08,0,3.3,11
2/12/2000,1,18,-12,1.2,2000-02-11T21:47,2000-02-12T08:10,0,4.7,15.7
2/13/2000,3,20.8,-8.5,5.2,2000-02-12T21:45,2000-02-13T08:11,0,5.2,16.3
2/14/2000,3,22.5,-0.9,8.9,2000-02-13T21:44,2000-02-14T08:12,0,6.7,20.1
2/15/2000,73,31.1,7.7,22.6,2000-02-14T21:42,2000-02-15T08:14,0.106,5.9,18.1
2/16/2000,71,17.9,5.6,13.3,2000-02-15T21:41,2000-02-16T08:15,0.016,6.6,20.1
2/17/2000,1,17.8,-6.7,7,2000-02-16T21:40,2000-02-17T08:16,0,4.1,13.4
2/18/2000,1,21.3,-3.9,9.8,2000-02-17T21:38,2000-02-18T08:18,0,4.1,13.4
2/19/2000,73,19.2,0.1,11.7,2000-02-18T21:37,2000-02-19T08:19,0.075,4.5,14.8
2/20/2000,73,8.3,-4.3,2.3,2000-02-19T21:35,2000-02-20T08:20,0.118,7,19.7
2/21/2000,71,3,-9.7,-3.1,2000-02-20T21:34,2000-02-21T08:21,0,5,14.3
2/22/2000,0,4.1,-24.7,-9.3,2000-02-21T21:32,2000-02-22T08:23,0,4.8,15.4
2/23/2000,0,13.7,-20.6,-7.3,2000-02-22T21:30,2000-02-23T08:24,0,5.6,17.2
2/24/2000,0,14.7,-14.7,-3.4,2000-02-23T21:29,2000-02-24T08:25,0,5,16.3
2/25/2000,0,18.6,-13.9,0,2000-02-24T21:27,2000-02-25T08:27,0,5,15.2
2/26/2000,2,21.5,-12.1,1.1,2000-02-25T21:26,2000-02-26T08:28,0,6.1,19.2
2/27/2000,71,30.3,-0.9,18.3,2000-02-26T21:24,2000-02-27T08:29,0,5.4,17.9
2/28/2000,3,26.9,2.5,14.3,2000-02-27T21:23,2000-02-28T08:30,0,5.8,19.5
2/29/2000,73,19.5,8.7,14.7,2000-02-28T21:21,2000-02-29T08:32,0.146,6.5,19
3/1/2000,2,17.8,-3.5,7.8,2000-02-29T21:20,2000-03-01T08:33,0,3.1,10.5
3/2/2000,1,22.7,3,12,2000-03-01T21:18,2000-03-02T08:34,0,3.2,10.1
3/3/2000,1,22.4,-3.5,10.7,2000-03-02T21:16,2000-03-03T08:35,0,5.2,12.8
